Description,Gene,LB_copies_per_cell,LB_coef_of_var
mRNA interferase ChpB OS=Escherichia coli (strain K12) GN=chpB PE=1 SV=1,chpB,46,21.31
Acyl-CoA thioester hydrolase YciA OS=Escherichia coli (strain K12) GN=yciA PE=3 SV=1,yciA,73,9.16
Multidrug resistance protein MdtF OS=Escherichia coli (strain K12) GN=mdtF PE=1 SV=1,mdtF,1,101.16
Uncharacterized protein yciH OS=Escherichia coli (strain K12) GN=yciH PE=1 SV=1,yciH,107,1.87
Thermoresistant gluconokinase OS=Escherichia coli (strain K12) GN=gntK PE=1 SV=4,gntK,19,16.83
Uncharacterized protein ycgJ OS=Escherichia coli (strain K12) GN=ycgJ PE=4 SV=1,ycgJ,30,7.24
CRISPR-associated endonuclease Cas1 OS=Peptoniphilus sp. oral taxon 836 str. F0141 GN=cas1 PE=4 SV=1,cas1,29,44.99
Uncharacterized protein ybhP OS=Escherichia coli (strain K12) GN=ybhP PE=4 SV=1,ybhP,2,12.27
Glutamate decarboxylase beta OS=Escherichia coli (strain K12) GN=gadB PE=1 SV=1,gadB,13,14.51
Uncharacterized protein ychH OS=Escherichia coli (strain K12) GN=ychH PE=4 SV=1,ychH,8,135.71
Uncharacterized HTH-type transcriptional regulator ycjW OS=Escherichia coli (strain K12) GN=ycjW PE=1 SV=1,ycjW,48,30.69
Thiosulfate sulfurtransferase glpE OS=Escherichia coli (strain K12) GN=glpE PE=1 SV=1,glpE,37,41.98
Antitoxin MqsA OS=Escherichia coli (strain K12) GN=mqsA PE=1 SV=1,mqsA,181,0.43
UPF0145 protein ybjQ OS=Escherichia coli (strain K12) GN=ybjQ PE=1 SV=1,ybjQ,128,2.14
Transcriptional activator rfaH OS=Escherichia coli (strain K12) GN=rfaH PE=1 SV=1,rfaH,78,3.23
Uncharacterized protein yfhG OS=Escherichia coli (strain K12) GN=yfhG PE=4 SV=1,yfhG,9,22.28
tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL OS=Escherichia coli (strain K12) GN=trmL PE=1 SV=1,trmL,63,12.22
Uncharacterized protein ytfN OS=Escherichia coli (strain K12) GN=ytfN PE=1 SV=2,tamB,9,28.30
Uncharacterized protein yeaR OS=Escherichia coli (strain K12) GN=yeaR PE=1 SV=1,yeaR,7,53.21
Glucose-1-phosphate thymidylyltransferase 2 OS=Escherichia coli (strain K12) GN=rmlA2 PE=1 SV=1,rmlA,57,7.11
Phosphohistidine phosphatase sixA OS=Escherichia coli (strain K12) GN=sixA PE=1 SV=1,sixA,49,15.22
CRISPR-associated protein Cas1 OS=Methylobacter tundripaludum SV96 GN=MettuDRAFT_4149 PE=4 SV=1,,48,5.01
UPF0268 protein ycbG OS=Escherichia coli (strain K12) GN=ycbG PE=3 SV=1,matP,43,12.51
Na(+)/H(+) antiporter nhaB OS=Escherichia coli (strain K12) GN=nhaB PE=1 SV=1,nhaB,0,0.67
Probable disulfide bond reductase yfcG OS=Escherichia coli (strain K12) GN=yfcG PE=1 SV=1,yfcG,35,37.48
Protein sbmA OS=Escherichia coli (strain K12) GN=sbmA PE=1 SV=1,sbmA,4,27.67
Probable diguanylate cyclase YdaM OS=Escherichia coli (strain K12) GN=ydaM PE=1 SV=2,ydaM,17,28.80
Uncharacterized protein yaiL OS=Escherichia coli (strain K12) GN=yaiL PE=4 SV=2,yaiL,158,15.79
Octaprenyl-diphosphate synthase OS=Escherichia coli (strain K12) GN=ispB PE=1 SV=1,ispB,99,11.37
Ribonuclease Z OS=Escherichia coli (strain K12) GN=rnz PE=1 SV=1,rbn,10,3.07
Glutaredoxin-1 OS=Escherichia coli (strain K12) GN=grxA PE=1 SV=1,grxA,165,63.15
Phosphate regulon transcriptional regulatory protein phoB OS=Escherichia coli (strain K12) GN=phoB PE=1 SV=1,phoB,9,40.34
Dipeptide transport system permease protein dppC OS=Escherichia coli (strain K12) GN=dppC PE=1 SV=1,dppC,36,20.19
Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3,acpS,83,7.08
Sulfoxide reductase catalytic subunit yedY OS=Escherichia coli (strain K12) GN=yedY PE=1 SV=1,yedY,4,6.18
Nucleoside triphosphate pyrophosphohydrolase OS=Escherichia coli (strain K12) GN=mazG PE=1 SV=1,mazG,4,80.03
Uncharacterized protein ydhZ OS=Escherichia coli (strain K12) GN=ydhZ PE=4 SV=1,ydhZ,89,18.81
Uncharacterized protein YbiJ OS=Escherichia coli (strain K12) GN=ybiJ PE=3 SV=1,ybiJ,5,24.39
Protein ApaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1,apaG,17,15.65
Protein tusC OS=Escherichia coli (strain K12) GN=tusC PE=1 SV=1,tusC,23,15.65
Uncharacterized HTH-type transcriptional regulator yjgJ OS=Escherichia coli (strain K12) GN=yjgJ PE=4 SV=2,bdcR,714,26.25
Esterase YpfH OS=Escherichia coli (strain K12) GN=ypfH PE=3 SV=2,ypfH,39,22.70
HTH-type transcriptional regulator rpiR OS=Escherichia coli (strain K12) GN=rpiR PE=1 SV=1,rpiR,40,15.45
Protein ynjB OS=Escherichia coli (strain K12) GN=ynjB PE=1 SV=2,ynjB,14,5.77
Uncharacterized protein yeaC OS=Escherichia coli (strain K12) GN=yeaC PE=4 SV=2,yeaC,227,9.18
Molybdopterin-guanine dinucleotide biosynthesis protein A OS=Escherichia coli (strain K12) GN=mobA PE=1 SV=1,mobA,19,5.72
Uxu operon transcriptional regulator OS=Escherichia coli (strain K12) GN=uxuR PE=4 SV=1,uxuR,11,29.83
Uncharacterized protein yjbD OS=Escherichia coli (strain K12) GN=yjbD PE=4 SV=1,yjbD,162,6.75
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC OS=Escherichia coli (strain K12) GN=mnmC PE=1 SV=2,mnmC,12,3.12
UPF0124 protein yfiH OS=Escherichia coli (strain K12) GN=yfiH PE=1 SV=1,yfiH,30,7.45
HTH-type transcriptional regulator dicA OS=Escherichia coli (strain K12) GN=dicA PE=4 SV=1,dicA,25,27.95
Sigma-E factor negative regulatory protein OS=Escherichia coli (strain K12) GN=rseA PE=1 SV=1,rseA,60,52.71
Uncharacterized Nudix hydrolase nudL OS=Escherichia coli (strain K12) GN=nudL PE=3 SV=1,nudL,9,44.81
Endonuclease V OS=Escherichia coli (strain K12) GN=nfi PE=1 SV=1,nfi,7,26.43
UPF0178 protein yaiI OS=Escherichia coli (strain K12) GN=yaiI PE=1 SV=1,yaiI,54,5.26
Lipoprotein-releasing system transmembrane protein lolE OS=Escherichia coli (strain K12) GN=lolE PE=1 SV=3,lolE,6,55.32
DNA-damage-inducible protein I OS=Escherichia coli (strain K12) GN=dinI PE=1 SV=1,dinI,226,4.01
Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2,thiB,82,48.22
Uncharacterized protein yedK OS=Escherichia coli (strain K12) GN=yedK PE=1 SV=2,yedK,4,49.47
HTH-type transcriptional regulator CueR OS=Escherichia coli (strain K12) GN=cueR PE=1 SV=1,cueR,103,3.06
Transcription elongation factor greB OS=Escherichia coli (strain K12) GN=greB PE=1 SV=2,greB,1,101.50
Ribosomal RNA small subunit methyltransferase F OS=Escherichia coli (strain K12) GN=rsmF PE=1 SV=2,rsmF,68,11.08
HTH-type transcriptional regulator treR OS=Escherichia coli (strain K12) GN=treR PE=1 SV=2,treR,1,22.71
Putative diguanylate cylase YeaJ OS=Escherichia coli (strain K12) GN=yeaJ PE=2 SV=2,yeaJ,2,70.34
Uncharacterized protein yrbL OS=Escherichia coli (strain K12) GN=yrbL PE=2 SV=1,yrbL,46,10.58
Putative lambdoid prophage e14 repressor protein C2 OS=Escherichia coli (strain K12) GN=ymfK PE=4 SV=1,cohE,6,14.51
UPF0259 membrane protein yciC OS=Escherichia coli (strain K12) GN=yciC PE=1 SV=2,yciC,20,23.59
UPF0235 protein yggU OS=Escherichia coli (strain K12) GN=yggU PE=3 SV=2,yggU,56,10.00
UPF0033 protein yeeD OS=Escherichia coli (strain K12) GN=yeeD PE=3 SV=1,yeeD,3135,10.68
HTH-type transcriptional regulator cbl OS=Escherichia coli (strain K12) GN=cbl PE=1 SV=2,cbl,18,23.75
Phenylalanine-specific permease OS=Escherichia coli (strain K12) GN=pheP PE=1 SV=1,pheP,16,59.24
Cell volume regulation protein A OS=Escherichia coli (strain K12) GN=cvrA PE=3 SV=2,cvrA,5,86.25
Tetraacyldisaccharide 4'-kinase OS=Escherichia coli (strain K12) GN=lpxK PE=1 SV=2,lpxK,17,0.96
Molybdopterin-guanine dinucleotide biosynthesis protein B OS=Escherichia coli (strain K12) GN=mobB PE=1 SV=3,mobB,17,46.50
Putative transport protein YidE OS=Escherichia coli (strain K12) GN=yidE PE=3 SV=1,yidE,1,65.13
NADH-quinone oxidoreductase subunit M OS=Escherichia coli (strain K12) GN=nuoM PE=1 SV=1,nuoM,66,23.56
Uncharacterized protein ydfW in Qin prophage region OS=Escherichia coli (strain K12) GN=ydfW PE=5 SV=2,ydfW,2,16.12
Probable transport protein YifK OS=Escherichia coli (strain K12) GN=yifK PE=1 SV=4,yifK,5,19.39
Probable glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsY PE=1 SV=1,plsY,0,120.72
UPF0597 protein yhaM OS=Escherichia coli (strain K12) GN=yhaM PE=3 SV=3,yhaM,34,12.44
Adenylate cyclase OS=Escherichia coli (strain K12) GN=cyaA PE=3 SV=5,cyaA,0,4.20
N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2 OS=Escherichia coli (strain K12) GN=agaV PE=4 SV=1,agaV,61,55.87
Cell division protein ftsB OS=Escherichia coli (strain K12) GN=ftsB PE=1 SV=1,ftsB,24,25.89
Uncharacterized protein ybgA OS=Escherichia coli (strain K12) GN=ybgA PE=4 SV=1,ybgA,0,0.69
DNA polymerase III subunit delta' OS=Escherichia coli (strain K12) GN=holB PE=1 SV=2,holB,20,27.55
Octanoyltransferase OS=Escherichia coli (strain K12) GN=lipB PE=1 SV=1,lipB,19,147.35
Antitoxin YefM OS=Escherichia coli (strain K12) GN=yefM PE=1 SV=1,yefM,88,17.96
Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,pncA,61,20.84
UPF0702 transmembrane protein ycaP OS=Escherichia coli (strain K12) GN=ycaP PE=3 SV=1,ycaP,2,24.18
Uncharacterized protein YfeA OS=Escherichia coli (strain K12) GN=yfeA PE=2 SV=2,yfeA,3,13.13
Uroporphyrinogen-III synthase OS=Escherichia coli (strain K12) GN=hemD PE=3 SV=1,hemD,18,25.32
HTH-type transcriptional repressor YcgE OS=Escherichia coli (strain K12) GN=ycgE PE=1 SV=1,ycgE,2,17.31
D-tyrosyl-tRNA(Tyr) deacylase OS=Escherichia coli (strain K12) GN=dtd PE=1 SV=1,dtd,9,21.15
Exodeoxyribonuclease V gamma chain OS=Escherichia coli (strain K12) GN=recC PE=1 SV=1,recC,1,14.56
Menaquinone-specific isochorismate synthase OS=Escherichia coli (strain K12) GN=menF PE=1 SV=4,menF,7,8.57
Uncharacterized lipoprotein ygeR OS=Escherichia coli (strain K12) GN=ygeR PE=4 SV=2,ygeR,5,18.10
Colicin V production protein OS=Escherichia coli (strain K12) GN=cvpA PE=1 SV=1,cvpA,11,22.33
HTH-type transcriptional regulator ulaR OS=Escherichia coli (strain K12) GN=ulaR PE=1 SV=1,ulaR,55,44.52
Uncharacterized protein yiiQ OS=Escherichia coli (strain K12) GN=yiiQ PE=4 SV=1,yiiQ,23,16.17
Primosomal replication protein n OS=Escherichia coli (strain K12) GN=priB PE=1 SV=3,priB,1,120.45
"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase OS=Escherichia coli (strain K12) GN=waaU PE=4 SV=2",waaU,16,8.84
Uncharacterized lipoprotein ygdR OS=Escherichia coli (strain K12) GN=ygdR PE=1 SV=1,ygdR,0,150.61
ATP-dependent DNA helicase recG OS=Escherichia coli (strain K12) GN=recG PE=1 SV=1,recG,7,32.75
Uncharacterized protein YgeA OS=Escherichia coli (strain K12) GN=ygeA PE=1 SV=1,ygeA,6,32.08
Farnesyl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispA PE=1 SV=1,ispA,19,9.54
Uncharacterized protein ybiI OS=Escherichia coli (strain K12) GN=ybiI PE=1 SV=1,ybiI,4,28.76
Glucarate dehydratase OS=Escherichia coli (strain K12) GN=gudD PE=1 SV=2,gudD,2,54.00
UPF0271 protein ybgL OS=Escherichia coli (strain K12) GN=ybgL PE=1 SV=1,ybgL,8,45.72
Uncharacterized protein ygbT OS=Erwinia amylovora (strain CFBP1430) GN=ygbT PE=4 SV=1,ygbT,5,38.45
Ribosomal RNA large subunit methyltransferase G OS=Escherichia coli (strain K12) GN=rlmG PE=1 SV=2,rlmG,12,141.54
Uncharacterized protein yfgJ OS=Escherichia coli (strain K12) GN=yfgJ PE=1 SV=2,yfgJ,11,46.10
Tyrosine recombinase xerD OS=Escherichia coli (strain K12) GN=xerD PE=1 SV=1,xerD,29,14.98
Signal transduction protein pmrD OS=Escherichia coli (strain K12) GN=pmrD PE=1 SV=2,pmrD,36,102.00
Ribosome modulation factor OS=Escherichia coli (strain K12) GN=rmf PE=1 SV=1,rmf,16,82.39
Protein FdhD OS=Escherichia coli (strain K12) GN=fdhD PE=3 SV=1,fdhD,2,28.01
Uncharacterized protein yfeY OS=Escherichia coli (strain K12) GN=yfeY PE=1 SV=1,yfeY,42,24.74
Sec-independent protein translocase protein tatE OS=Escherichia coli (strain K12) GN=tatE PE=1 SV=1,tatE,46,4.19
Uncharacterized ABC transporter ATP-binding protein YtfR OS=Escherichia coli (strain K12) GN=ytfR PE=3 SV=1,ytfR,2,143.20
UPF0394 inner membrane protein yeeE OS=Escherichia coli (strain K12) GN=yeeE PE=1 SV=1,yeeE,13,118.67
Uncharacterized protein yaiW OS=Escherichia coli (strain K12) GN=yaiW PE=4 SV=1,yaiW,1,80.34
Sensor kinase protein RcsC OS=Escherichia coli (strain K12) GN=rcsC PE=1 SV=3,rcsC,3,87.53
4-hydroxy-2-oxovalerate aldolase OS=Escherichia coli (strain K12) GN=mhpE PE=1 SV=2,mhpE,14,25.97
UPF0718 protein yraQ OS=Escherichia coli (strain K12) GN=yraQ PE=3 SV=1,yraQ,4,13.07
Inner membrane transport protein YqeG OS=Escherichia coli (strain K12) GN=yqeG PE=1 SV=1,yqeG,0,0.72
5-keto-4-deoxy-D-glucarate aldolase OS=Escherichia coli (strain K12) GN=garL PE=1 SV=2,garL,241,132.53
D-xylose-proton symporter OS=Escherichia coli (strain K12) GN=xylE PE=1 SV=1,xylE,2,62.66
Pyrimidine 5'-nucleotidase YjjG OS=Escherichia coli (strain K12) GN=yjjG PE=1 SV=1,yjjG,67,20.58
Uncharacterized protein yhdP OS=Escherichia coli (strain K12) GN=yhdP PE=4 SV=4,yhdP,3,5.46
Beta-ketoadipyl-CoA thiolase OS=Escherichia coli (strain K12) GN=paaJ PE=1 SV=1,paaJ,35,14.19
Uncharacterized protein ypeB OS=Escherichia coli (strain K12) GN=ypeB PE=4 SV=1,ypeB,78,5.52
Diguanylate cyclase YdeH OS=Escherichia coli (strain K12) GN=ydeH PE=1 SV=2,ydeH,1,48.38
Ammonia channel OS=Escherichia coli (strain K12) GN=amtB PE=1 SV=1,amtB,1,6.99
UPF0053 inner membrane protein ytfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1,ytfL,22,22.13
UPF0052 protein ybhK OS=Escherichia coli (strain K12) GN=ybhK PE=3 SV=1,ybhK,7,86.90
Nickel transport system permease protein nikC OS=Escherichia coli (strain K12) GN=nikC PE=1 SV=1,nikC,6,66.08
Arsenate reductase OS=Escherichia coli (strain K12) GN=arsC PE=3 SV=1,arsC,2,128.80
Uncharacterized protein yoaC OS=Escherichia coli (strain K12) GN=yoaC PE=4 SV=2,yoaC,29,95.32
Cytochrome o ubiquinol oxidase protein CyoD OS=Escherichia coli (strain K12) GN=cyoD PE=1 SV=1,cyoD,324,38.34
Endonuclease 8 OS=Escherichia coli (strain K12) GN=nei PE=1 SV=3,nei,0,1.98
MscS family inner membrane protein ynaI OS=Escherichia coli (strain K12) GN=ynaI PE=1 SV=1,ynaI,4,16.86
A/G-specific adenine glycosylase OS=Escherichia coli (strain K12) GN=mutY PE=1 SV=1,mutY,6,12.52
Hydrogenase 2 maturation protease OS=Escherichia coli (strain K12) GN=hybD PE=1 SV=2,hybD,39,27.52
Uncharacterized protein ynfD OS=Escherichia coli (strain K12) GN=ynfD PE=1 SV=2,ynfD,7,63.92
23S rRNA (uracil-5-)-methyltransferase RumA OS=Escherichia coli (strain K12) GN=rumA PE=1 SV=3,rlmD,4,36.50
Uncharacterized protein yfeC OS=Escherichia coli (strain K12) GN=yfeC PE=4 SV=1,yfeC,180,11.49
Penicillin-binding protein 2 OS=Escherichia coli (strain K12) GN=mrdA PE=3 SV=1,mrdA,14,12.88
Sensor protein rstB OS=Escherichia coli (strain K12) GN=rstB PE=1 SV=2,rstB,4,6.42
Uncharacterized sigma-54-dependent transcriptional regulator ygeV OS=Escherichia coli (strain K12) GN=ygeV PE=4 SV=1,ygeV,21,1.39
Tyrosine recombinase xerC OS=Escherichia coli (strain K12) GN=xerC PE=1 SV=1,xerC,16,31.55
Methyl-accepting chemotaxis protein III OS=Escherichia coli (strain K12) GN=trg PE=1 SV=3,trg,0,34.45
Exodeoxyribonuclease I OS=Escherichia coli (strain K12) GN=sbcB PE=4 SV=1,sbcB,0,92.62
Uncharacterized protein ydbL OS=Escherichia coli (strain K12) GN=ydbL PE=4 SV=2,ydbL,16,18.53
Phenylacetic acid degradation protein paaC OS=Escherichia coli (strain K12) GN=paaC PE=1 SV=1,paaC,2,111.32
DNA recombination protein rmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1,rmuC,7,64.43
UPF0225 protein ychJ OS=Escherichia coli (strain K12) GN=ychJ PE=1 SV=2,ychJ,6,14.39
Uncharacterized HTH-type transcriptional regulator YddM OS=Escherichia coli (strain K12) GN=yddM PE=3 SV=1,yddM,126,24.70
Flagellar M-ring protein OS=Escherichia coli (strain K12) GN=fliF PE=1 SV=3,fliF,1,22.35
Phenylacetic acid degradation protein paaB OS=Escherichia coli (strain K12) GN=paaB PE=2 SV=1,paaB,119,166.23
Chaperone protein fimC OS=Escherichia coli (strain K12) GN=fimC PE=1 SV=3,fimC,8,149.22
UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1,yacG,255,33.17
Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW OS=Escherichia coli (strain K12) GN=yggW PE=3 SV=1,yggW,2,15.51
Putative lipoprotein yfiB OS=Escherichia coli (strain K12) GN=yfiB PE=3 SV=2,yfiB,3,19.15
Uncharacterized HTH-type transcriptional regulator ybaQ OS=Escherichia coli (strain K12) GN=ybaQ PE=1 SV=1,ybaQ,15,16.42
Formamidopyrimidine-DNA glycosylase OS=Escherichia coli (strain K12) GN=mutM PE=1 SV=3,mutM,21,54.06
O-antigen ligase OS=Escherichia coli (strain K12) GN=rfaL PE=1 SV=2,rfaL,2,36.46
Starvation-sensing protein rspA OS=Escherichia coli (strain K12) GN=rspA PE=1 SV=1,rspA,3,37.60
Prolipoprotein diacylglyceryl transferase OS=Escherichia coli (strain K12) GN=lgt PE=1 SV=1,lgt,9,32.97
tRNA-dihydrouridine synthase B OS=Escherichia coli (strain K12) GN=dusB PE=1 SV=1,dusB,22,16.34
Transcriptional regulatory protein dcuR OS=Escherichia coli (strain K12) GN=dcuR PE=1 SV=1,dcuR,5,51.22
Ribonuclease D OS=Escherichia coli (strain K12) GN=rnd PE=1 SV=1,rnd,0,126.92
Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2,ahr,0,91.41
Uncharacterized response regulatory protein yehT OS=Escherichia coli (strain K12) GN=yehT PE=3 SV=1,yehT,20,86.13
UPF0759 protein yecE OS=Escherichia coli (strain K12) GN=yecE PE=1 SV=4,yecE,1,81.92
HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1,acrR,40,7.10
Bifunctional polymyxin resistance protein ArnA OS=Escherichia coli (strain K12) GN=arnA PE=1 SV=1,arnA,6,45.28
Bactoprenol glucosyl transferase homolog from prophage CPS-53 OS=Escherichia coli (strain K12) GN=yfdH PE=1 SV=1,yfdH,5,16.15
Flagellar fliJ protein OS=Escherichia coli (strain K12) GN=fliJ PE=3 SV=2,fliJ,33,16.91
Negative regulator of flagellin synthesis OS=Escherichia coli (strain K12) GN=flgM PE=1 SV=1,flgM,25,25.08
Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1,ampE,10,14.24
Transcriptional regulatory protein CreB OS=Escherichia coli (strain K12) GN=creB PE=3 SV=1,creB,10,16.48
Zinc resistance-associated protein OS=Escherichia coli (strain K12) GN=zraP PE=1 SV=1,zraP,1,76.40
DNA polymerase III subunit chi OS=Escherichia coli (strain K12) GN=holC PE=1 SV=1,holC,14,41.09
Multidrug resistance protein MdtB OS=Escherichia coli (strain K12) GN=mdtB PE=2 SV=1,mdtB,0,160.87
Maltodextrin glucosidase OS=Escherichia coli (strain K12) GN=malZ PE=2 SV=4,malZ,1,74.81
Uncharacterized HTH-type transcriptional regulator ycfQ OS=Escherichia coli (strain K12) GN=ycfQ PE=4 SV=2,comR,1,46.55
Hexose phosphate transport protein OS=Escherichia coli (strain K12) GN=uhpT PE=1 SV=1,uhpT,1,31.62
Protein Xni OS=Escherichia coli (strain K12) GN=ygdG PE=1 SV=3,ygdG,6,21.20
Uncharacterized HTH-type transcriptional regulator yhaJ OS=Escherichia coli (strain K12) GN=yhaJ PE=4 SV=1,yhaJ,5,53.62
Uncharacterized protein ybdD OS=Escherichia coli (strain K12) GN=ybdD PE=4 SV=1,ybdD,7,76.02
Nuclease sbcCD subunit D OS=Escherichia coli (strain K12) GN=sbcD PE=1 SV=1,sbcD,14,21.97
Uncharacterized protein yigA OS=Escherichia coli (strain K12) GN=yigA PE=4 SV=1,yigA,12,4.25
Altronate oxidoreductase OS=Escherichia coli (strain K12) GN=uxaB PE=1 SV=1,uxaB,31,8.44
D-alanyl-D-alanine endopeptidase OS=Escherichia coli (strain K12) GN=pbpG PE=1 SV=2,pbpG,0,1.07
Protein Rtn OS=Escherichia coli (strain K12) GN=rtn PE=2 SV=1,rtn,0,111.15
Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1,wecA,0,85.26
Respiratory nitrate reductase 1 gamma chain OS=Escherichia coli (strain K12) GN=narI PE=1 SV=1,narI,0,2.03
UPF0716 protein fxsA OS=Escherichia coli (strain K12) GN=fxsA PE=1 SV=2,fxsA,42,163.82
NADH-quinone oxidoreductase subunit L OS=Escherichia coli (strain K12) GN=nuoL PE=1 SV=2,nuoL,10,16.34
Dipeptide and tripeptide permease A OS=Escherichia coli (strain K12) GN=dtpA PE=1 SV=1,dtpA,3,0.64
Dipeptide transport system permease protein dppB OS=Escherichia coli (strain K12) GN=dppB PE=1 SV=1,dppB,5,13.02
UPF0270 protein yheU OS=Escherichia coli (strain K12) GN=yheU PE=3 SV=1,yheU,0,0.61
Putative transport protein YbjL OS=Escherichia coli (strain K12) GN=ybjL PE=3 SV=1,ybjL,0,0.71
Inner membrane protein yehU OS=Escherichia coli (strain K12) GN=yehU PE=1 SV=1,yehU,1,147.45
Phenylacetate-coenzyme A ligase OS=Escherichia coli (strain K12) GN=paaK PE=1 SV=1,paaK,5,164.01
Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3,acrD,0,37.56
Protein syd OS=Escherichia coli (strain K12) GN=syd PE=1 SV=1,syd,157,7.36
Uncharacterized protein ybjN OS=Escherichia coli (strain K12) GN=ybjN PE=4 SV=1,ybjN,333,21.34
Probable inorganic polyphosphate/ATP-NAD kinase OS=Escherichia coli (strain K12) GN=ppnK PE=3 SV=1,nadK,23,14.43
Probable dimethyl sulfoxide reductase chain ynfF OS=Escherichia coli (strain K12) GN=ynfF PE=3 SV=4,ynfF,0,0.68
Galactitol utilization operon repressor OS=Escherichia coli (strain K12) GN=gatR PE=4 SV=2,gatR,7,104.78
Tyrosine-protein kinase wzc OS=Escherichia coli (strain K12) GN=wzc PE=1 SV=2,wzc,2,1.04
Uncharacterized protein yjiM OS=Escherichia coli (strain K12) GN=yjiM PE=4 SV=2,yjiM,0,37.40
